,SalePrice
640,274000
998,91000
902,180000
37,153000
388,191000
435,212000
168,183500
1138,196000
148,141000
462,62383
762,215200
1422,136500
445,127500
755,172500
1080,145000
94,204750
686,227875
984,126000
1190,168000
1107,274725
1181,392500
973,182000
1330,227000
531,128000
504,147000
304,295000
1143,80000
989,197000
1218,80500
1121,212900
38,109000
82,245000
1332,100000
1250,244000
782,187100
997,185000
494,91300
323,126175
1409,215000
530,175000
933,190000
859,250000
1032,310000
760,127500
1006,163500
1274,139000
754,156000
457,256000
1428,119000
415,181134
1379,167500
1307,138000
171,215000
1160,146000
801,109900
248,180000
905,128000
906,255000
182,120000
789,187500
860,189950
510,164900
27,306000
1441,149300
274,124500
260,176000
899,135000
380,127000
1069,135000
751,162000
154,125000
650,205950
852,164000
34,277500
986,117000
1452,145000
533,39300
1406,133000
1079,126000
210,98000
817,271000
1267,378500
330,119000
1265,183900
908,131000
237,194500
790,160200
612,261500
502,140000
104,169500
846,213000
183,200000
331,139000
617,105500
1011,100000
708,179540
1357,149900
115,176000
8,129900
1397,137500
879,136500
780,176000
212,252678
324,242000
1076,170000
1094,129000
975,165000
794,194500
1026,167500
1448,112000
11,345000
197,235000
596,114504
1101,119500
927,176000
1002,232000
564,268000
1260,181000
302,205000
403,258000
58,438780
803,582933
663,137500
454,188000
693,108480
191,184000
921,145900
527,446261
1393,163000
875,303477
106,100000
483,164000
992,187000
306,225000
677,109500
456,98000
1078,155900
695,176000
467,146500
150,122000
1057,248000
1351,171000
360,156000
427,109008
357,134000
830,166000
17,90000
1126,174000
809,106000
392,106500
1319,111000
1339,128500
1358,177500
343,266000
855,127000
837,100000
145,130000
602,220000
848,240000
607,225000
417,239000
532,107500
862,152000
1239,265900
516,158000
269,148000
1439,197000
366,159000
97,94750
1072,91500
679,128500
912,88000
939,244400
43,130250
391,215000
1369,232000
930,201000
913,145000
42,144000
240,262500
1213,145000
1304,130000
1291,119500
614,75500
309,360000
1253,294000
1303,232000
854,170000
845,171000
910,154300
140,115000
610,313000
6,307000
707,254000
804,118000
1315,206900
303,149900
371,134432
836,153500
486,156000
54,130000
428,195400
1068,151400
626,139900
737,239900
313,375000
493,155000
496,430000
308,82500
57,196500
1064,154000
580,181900
856,147000
549,263000
1371,165500
1050,176485
976,85500
19,139000
676,87000
870,109500
13,279500
1327,130500
535,107500
433,181000
1320,156500
411,145000
134,180000
358,130000
1314,119000
783,165500
1225,145000
381,187750
491,133000
141,260000
703,140000
771,102000
823,139500
1125,115000
156,109500
1013,85000
1354,235000
586,130000
797,110000
229,192500
337,214000
1200,116050
1290,180500
1100,60000
769,538000
96,214000
1453,84500
1380,58500
23,129900
489,86000
1084,187500
368,132000
581,253293
1207,200000
1396,160000
1203,213000
1419,223000
1222,143000
885,328900
590,185900
39,82000
1166,245350
720,275000
1039,80000
1128,215000
