,1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorchSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,SalePrice
10,1040.0,0.0,3.0,No,906.0,Rec,134.0,0.0,384.0,Unf,1965.0,1040.0,TA,11200.0,70.0,0.0,0.0,5.0,5.0,1040.0,155.6,1965.0,1965.0,129500
11,1182.0,1142.0,4.0,No,998.0,GLQ,177.0,0.0,736.0,Fin,2005.0,2324.0,Ex,11924.0,85.0,286.0,21.0,5.0,9.0,1175.0,264.6,2005.0,2006.0,345000
12,912.0,0.0,2.0,No,737.0,ALQ,175.0,37.0,352.0,Unf,1962.0,912.0,TA,12968.0,79.0,0.0,0.0,6.0,5.0,912.0,204.2,1962.0,1962.0,144000
13,1494.0,0.0,3.0,Av,0.0,Unf,1494.0,0.0,840.0,RFn,2006.0,1494.0,Gd,10652.0,91.0,306.0,33.0,5.0,7.0,1494.0,160.0,2006.0,2007.0,279500
14,1253.0,0.0,2.8,No,733.0,BLQ,520.0,0.0,352.0,RFn,1960.0,1253.0,TA,10920.0,79.0,212.0,213.0,5.0,6.0,1253.0,24.0,1960.0,1960.0,157000
15,854.0,0.0,2.0,No,0.0,Unf,832.0,50.0,576.0,Unf,1991.0,854.0,TA,6120.0,51.0,0.0,112.0,8.0,7.0,832.0,4.8,1929.0,2001.0,132000
16,1004.0,0.0,2.0,No,578.0,ALQ,426.0,0.0,480.0,Fin,1970.0,1004.0,TA,11241.0,76.6,180.0,0.0,7.0,6.0,1004.0,155.6,1970.0,1970.0,149000
17,1296.0,0.0,2.0,None,0.0,None,0.0,0.0,516.0,Unf,1967.0,1296.0,TA,10791.0,72.0,0.0,0.0,5.0,4.0,0.0,0.0,1967.0,1967.0,90000
18,1114.0,129.6,2.8,No,646.0,GLQ,468.0,81.8,576.0,Unf,2004.0,1114.0,Gd,13695.0,66.0,0.0,102.0,5.0,5.0,1114.0,200.8,2004.0,2004.0,159000
19,1339.0,0.0,3.0,No,504.0,LwQ,525.0,45.2,294.0,Unf,1958.0,1339.0,TA,7560.0,70.0,0.0,0.0,6.0,5.0,1029.0,97.6,1958.0,1965.0,139000
20,1158.0,1218.0,4.0,Av,0.0,Unf,1158.0,44.8,853.0,RFn,2005.0,2376.0,Gd,14215.0,101.0,380.0,154.0,5.0,8.0,1158.0,240.0,2005.0,2006.0,325300
21,1108.0,0.0,3.0,No,0.0,Unf,637.0,45.2,280.0,Unf,1930.0,1108.0,Gd,7449.0,57.0,0.0,0.0,7.0,7.0,637.0,59.2,1930.0,1950.0,139400
22,1795.0,0.0,3.0,No,0.0,ALQ,1777.0,0.0,534.0,RFn,2002.0,1795.0,Gd,9742.0,75.0,281.0,159.0,5.0,8.0,1777.0,134.2,2002.0,2002.0,230000
23,1060.0,0.0,3.0,No,840.0,GLQ,200.0,57.2,572.0,Fin,1976.0,1060.0,TA,4224.0,44.0,0.0,110.0,7.0,5.0,1040.0,100.0,1976.0,1976.0,129900
24,1060.0,0.0,3.0,Mn,188.0,Rec,204.0,0.0,270.0,Unf,1968.0,1060.0,Gd,8246.0,64.2,0.0,90.0,8.0,5.0,1060.0,141.6,1968.0,2001.0,154000
25,1600.0,0.0,3.0,No,0.0,Unf,1566.0,0.0,890.0,RFn,2007.0,1600.0,Gd,14230.0,110.0,640.0,56.0,5.0,8.0,1566.0,165.8,2007.0,2007.0,256300
26,900.0,0.0,3.0,Mn,234.0,Unf,180.0,45.2,576.0,Unf,2005.0,900.0,Gd,7200.0,60.0,0.0,32.0,7.0,5.0,900.0,101.6,1951.0,2000.0,134800
27,1704.0,0.0,3.0,No,1218.0,GLQ,486.0,0.0,772.0,RFn,2008.0,1704.0,Gd,11478.0,98.0,200.0,50.0,5.0,8.0,1704.0,149.0,2007.0,2008.0,306000
28,1600.0,0.0,2.0,Gd,1277.0,BLQ,207.0,0.0,319.0,RFn,1957.0,1600.0,TA,16321.0,47.0,0.0,258.0,6.0,5.0,1484.0,48.8,1957.0,1997.0,207500
29,520.0,0.0,1.0,No,0.0,Unf,520.0,22.4,240.0,Unf,1920.0,520.0,Fa,6324.0,60.0,0.0,0.0,6.0,4.0,520.0,0.0,1927.0,1950.0,68500
30,649.0,668.0,3.0,No,0.0,Unf,649.0,0.0,250.0,Unf,1920.0,1317.0,TA,8500.0,50.0,0.0,54.0,4.0,4.0,649.0,44.0,1920.0,1950.0,40000
31,1228.0,0.0,3.0,No,0.0,Unf,1228.0,31.6,271.0,Unf,1966.0,1228.0,Gd,8544.0,71.4,0.0,65.0,6.0,5.0,1228.0,159.0,1966.0,2006.0,149350
32,1234.0,0.0,3.0,Av,0.0,Unf,1234.0,0.0,484.0,RFn,2007.0,1234.0,Gd,11049.0,85.0,0.0,30.0,5.0,8.0,1234.0,93.6,2007.0,2007.0,179900
33,1700.0,0.0,4.0,No,1018.0,Rec,380.0,0.0,447.0,RFn,1959.0,1700.0,Gd,10552.0,70.0,0.0,38.0,5.0,5.0,1398.0,39.4,1959.0,1959.0,165500
34,1561.0,0.0,2.0,No,1153.0,GLQ,408.0,0.0,556.0,Fin,2005.0,1561.0,Ex,7313.0,60.0,246.0,47.0,5.0,9.0,1561.0,203.0,2005.0,2005.0,277500
35,1132.0,1320.0,4.0,Av,0.0,Unf,1117.0,44.8,691.0,Unf,2004.0,2452.0,Gd,13418.0,108.0,132.0,32.0,5.0,8.0,1117.0,134.6,2004.0,2005.0,309000
36,1097.0,0.0,3.0,No,0.0,Unf,1097.0,0.0,672.0,Unf,1995.0,1097.0,TA,10859.0,112.0,0.0,64.0,5.0,5.0,1097.0,56.0,1994.0,1995.0,145000
37,1297.0,0.0,3.0,No,1213.0,Rec,84.0,0.0,498.0,Fin,1954.0,1297.0,TA,8532.0,74.0,650.0,0.0,6.0,5.0,1297.0,99.0,1954.0,1990.0,153000
38,1057.0,0.0,3.0,No,731.0,GLQ,326.0,0.0,246.0,Unf,1953.0,1057.0,Gd,7922.0,68.0,0.0,52.0,7.0,5.0,1057.0,154.4,1953.0,2007.0,109000
39,1152.0,0.0,1.8,None,0.0,None,0.0,0.0,0.0,None,1950.4,1152.0,Fa,6040.0,65.0,0.0,0.0,5.0,4.0,0.0,62.2,1955.0,1955.0,82000
40,1324.0,0.0,3.0,No,643.0,Rec,445.0,0.0,440.0,Fin,1965.0,1324.0,TA,8658.0,84.0,101.0,138.0,5.0,6.0,1088.0,0.0,1965.0,1965.0,160000
41,1328.0,0.0,2.0,Gd,967.0,BLQ,383.0,43.2,308.0,RFn,1959.0,1328.0,TA,16905.0,115.0,0.0,104.0,6.0,5.0,1350.0,58.4,1959.0,1959.0,170000
42,884.0,0.0,2.0,Av,747.0,ALQ,0.0,54.0,504.0,RFn,1983.0,884.0,Gd,9180.0,68.0,0.0,0.0,7.0,5.0,840.0,240.0,1983.0,1983.0,144000
43,938.0,0.0,3.0,Av,280.0,LwQ,167.0,72.2,308.0,Unf,1977.0,938.0,TA,9200.0,71.6,0.0,0.0,6.0,5.0,938.0,145.0,1975.0,1980.0,130250
44,1150.0,0.0,3.0,No,179.0,ALQ,465.0,0.0,300.0,RFn,1959.0,1150.0,TA,7945.0,70.0,0.0,0.0,6.0,5.0,1150.0,106.4,1959.0,1959.0,141000
45,1752.0,0.0,2.0,No,456.0,GLQ,1296.0,0.0,576.0,RFn,2005.0,1752.0,Ex,7658.0,61.0,412.0,82.0,5.0,9.0,1752.0,177.8,2005.0,2005.0,319900
46,1518.0,631.0,1.0,No,1351.0,GLQ,83.0,0.0,670.0,RFn,2003.0,2149.0,Gd,12822.0,48.0,0.0,43.0,5.0,7.0,1434.0,150.0,2003.0,2003.0,239686
47,1656.0,0.0,3.0,Av,24.0,GLQ,1632.0,0.0,826.0,Unf,2006.0,1656.0,Gd,11096.0,84.0,0.0,146.0,5.0,8.0,1656.0,101.6,2006.0,2006.0,249700
48,736.0,716.0,2.0,No,0.0,Unf,736.0,48.8,0.0,None,1964.0,1452.0,TA,4456.0,33.0,0.0,0.0,5.0,4.0,736.0,56.0,1920.0,2008.0,113000
49,955.0,0.0,3.0,No,763.0,BLQ,192.0,45.2,386.0,Unf,1966.0,955.0,TA,7742.0,66.0,0.0,0.0,7.0,5.0,955.0,145.8,1966.0,1966.0,127000
50,794.0,676.0,3.6,Av,182.0,GLQ,612.0,81.8,388.0,Fin,1997.0,1470.0,TA,13869.0,68.6,0.0,75.0,6.0,6.0,794.0,149.0,1997.0,1997.0,177000
51,816.0,0.0,3.0,No,0.0,Unf,816.0,50.0,528.0,Unf,1985.0,1176.0,TA,6240.0,52.0,0.0,0.0,6.0,6.0,816.0,4.8,1934.0,1950.0,114500
52,816.0,0.0,2.0,Gd,104.0,LwQ,0.0,18.2,516.0,Unf,1963.0,816.0,TA,8472.0,110.0,0.0,0.0,5.0,5.0,816.0,162.8,1963.0,1963.0,110000
53,1842.0,0.0,0.0,Gd,1810.0,GLQ,32.0,10.0,894.0,Fin,1981.0,1842.0,Gd,50271.0,68.0,0.0,72.0,5.0,9.0,1842.0,148.4,1981.0,1987.0,385000
54,1360.0,0.0,3.0,No,384.0,ALQ,0.0,45.2,572.0,Unf,1962.0,1360.0,TA,7134.0,60.0,0.0,50.0,5.0,5.0,384.0,187.2,1955.0,1955.0,130000
55,1425.0,0.0,3.0,No,490.0,Rec,935.0,0.0,576.0,RFn,1964.0,1425.0,TA,10175.0,100.0,272.0,0.0,5.0,6.0,1425.0,72.8,1964.0,1964.0,180500
56,983.0,756.0,3.0,No,649.0,GLQ,321.0,0.0,480.0,Fin,1999.0,1739.0,Gd,2645.0,24.0,456.0,0.0,5.0,8.0,970.0,130.8,1999.0,2000.0,172500
57,860.0,947.0,3.0,No,0.0,Unf,860.0,53.6,565.0,RFn,2004.0,1720.0,Gd,11645.0,89.0,0.0,70.0,5.0,7.0,860.0,0.0,2004.0,2004.0,196500
58,1426.0,1519.0,3.0,Gd,0.0,Unf,1410.0,44.8,641.0,Fin,2006.0,2945.0,Gd,13682.0,66.0,1031.0,0.0,5.0,10.0,1410.0,186.8,2006.0,2006.0,438780
59,780.0,0.0,2.0,Av,632.0,ALQ,148.0,45.2,352.0,Unf,1973.0,780.0,TA,7200.0,60.0,0.0,0.0,7.0,5.0,780.0,196.0,1972.0,1972.0,124900
60,1158.0,0.0,3.0,No,941.0,ALQ,217.0,37.0,576.0,Unf,2006.0,1158.0,Gd,13072.0,63.0,0.0,50.0,5.0,6.0,1158.0,209.0,2004.0,2004.0,158000
61,581.0,530.0,3.0,No,0.0,Unf,530.0,72.4,288.0,Unf,1935.0,1111.0,Fa,7200.0,60.0,0.0,0.0,7.0,5.0,530.0,20.8,1920.0,1996.0,101000
62,1370.0,0.0,2.0,Mn,24.0,GLQ,1346.0,50.0,484.0,RFn,2006.0,1370.0,Gd,6442.0,44.0,178.0,49.0,5.0,8.0,1370.0,55.2,2006.0,2006.0,202500
63,902.0,808.0,3.0,No,0.0,Unf,576.0,46.8,480.0,Unf,1990.0,1710.0,TA,10300.0,50.0,0.0,11.0,6.0,7.0,576.0,57.6,1921.0,1950.0,140000
64,1057.0,977.0,3.4,No,739.0,GLQ,318.0,0.0,645.0,RFn,1998.0,2034.0,Gd,9375.0,73.6,573.0,36.0,5.0,7.0,1057.0,66.4,1997.0,1998.0,219500
65,1143.0,1330.0,4.0,Av,0.0,Unf,1143.0,8.4,852.0,Fin,2004.0,2473.0,Gd,9591.0,76.0,344.0,151.0,5.0,8.0,1143.0,86.4,2004.0,2005.0,317000
66,2207.0,0.0,3.0,Gd,912.0,GLQ,1035.0,29.0,576.0,RFn,1970.0,2207.0,TA,19900.0,81.0,287.0,0.0,5.0,7.0,1947.0,76.8,1970.0,1989.0,180000
67,1479.0,0.0,3.0,Av,1013.0,GLQ,440.0,0.0,558.0,RFn,2003.0,1479.0,Gd,10665.0,72.0,167.0,29.0,5.0,7.0,1453.0,0.0,2003.0,2003.0,226000
68,747.0,0.0,2.0,No,0.0,Unf,747.0,106.0,220.0,Unf,1945.0,747.0,TA,4608.0,47.0,0.0,0.0,6.0,4.0,747.0,56.0,1945.0,1950.0,80000
69,1304.0,983.0,3.4,No,603.0,BLQ,701.0,43.2,667.0,Fin,1953.0,2287.0,TA,15593.0,81.0,0.0,21.0,4.0,7.0,1304.0,73.4,1953.0,1953.0,225000
70,2223.0,0.0,3.0,Gd,1880.0,ALQ,343.0,0.0,516.0,Fin,1973.0,2223.0,TA,13651.0,95.0,1115.0,0.0,6.0,7.0,2223.0,300.0,1973.0,1973.0,244000
71,845.0,0.0,2.0,No,565.0,ALQ,280.0,0.0,360.0,Unf,1987.0,845.0,TA,7599.0,69.0,0.0,0.0,6.0,4.0,845.0,125.0,1982.0,2006.0,129500
72,885.0,833.0,3.0,No,0.0,Unf,832.0,46.8,427.0,Fin,1998.0,1718.0,TA,10141.0,74.0,40.0,94.0,5.0,7.0,832.0,57.6,1998.0,1998.0,185000
73,1086.0,0.0,3.0,No,320.0,ALQ,404.0,0.0,490.0,Unf,1989.0,1086.0,TA,10200.0,85.0,104.0,0.0,7.0,5.0,1086.0,79.4,1954.0,2003.0,144900
74,840.0,765.0,3.0,No,0.0,Unf,840.0,50.0,379.0,Unf,1915.0,1605.0,TA,5790.0,60.0,0.0,0.0,6.0,3.0,840.0,0.0,1915.0,1950.0,107400
75,526.0,462.0,2.0,Gd,462.0,GLQ,0.0,0.0,297.0,Unf,1973.0,988.0,TA,1596.0,21.0,0.0,101.0,5.0,4.0,462.0,130.8,1973.0,1973.0,91000
76,952.0,0.0,2.0,No,228.0,ALQ,724.0,49.8,283.0,Unf,1956.0,952.0,TA,8475.0,57.8,0.0,0.0,7.0,4.0,952.0,170.0,1956.0,1956.0,135750
77,1072.0,213.0,2.0,No,336.0,BLQ,295.0,0.0,240.0,Unf,1948.0,1285.0,TA,8635.0,50.0,0.0,0.0,5.0,5.0,672.0,141.6,1948.0,2001.0,127000
78,1768.0,0.0,4.0,No,0.0,Unf,1768.0,0.0,0.0,None,2002.4,1768.0,TA,10778.0,72.0,0.0,0.0,5.0,4.0,1768.0,101.6,1968.0,1968.0,136500
79,682.0,548.0,2.0,No,0.0,Unf,440.0,0.0,440.0,Unf,1966.0,1230.0,TA,10440.0,60.0,0.0,0.0,6.0,5.0,440.0,0.0,1910.0,1981.0,110000
80,1182.0,960.0,3.4,No,448.0,Rec,448.0,81.8,509.0,Fin,1968.0,2142.0,Gd,13000.0,100.0,576.0,72.0,6.0,6.0,896.0,99.4,1968.0,1968.0,193500
81,1337.0,0.0,2.0,No,1201.0,GLQ,36.0,0.0,405.0,Fin,1998.0,1337.0,TA,4500.0,32.0,443.0,199.0,5.0,6.0,1237.0,109.6,1998.0,1998.0,153500
82,1563.0,0.0,3.0,No,33.0,GLQ,1530.0,0.0,758.0,RFn,2007.0,1563.0,Gd,10206.0,78.0,468.0,99.0,5.0,8.0,1563.0,64.0,2007.0,2007.0,245000
83,1065.0,0.0,3.0,No,0.0,Unf,1065.0,49.8,461.0,Unf,1974.0,1065.0,TA,8892.0,80.0,66.0,0.0,5.0,5.0,1065.0,89.6,1960.0,1960.0,126500
84,804.0,670.0,3.0,No,0.0,Unf,384.0,0.0,400.0,Fin,1995.0,1474.0,TA,8530.0,64.4,22.0,72.0,5.0,7.0,384.0,120.0,1995.0,1996.0,168500
85,1301.0,1116.0,4.0,No,0.0,Unf,1288.0,43.2,462.0,Unf,1991.0,2417.0,Gd,16059.0,121.0,284.0,82.0,5.0,8.0,1288.0,127.0,1991.0,1992.0,260000
86,684.0,876.0,3.0,Av,0.0,Unf,684.0,53.6,400.0,Fin,2005.0,1560.0,Gd,11911.0,122.0,0.0,38.0,5.0,6.0,684.0,0.0,2005.0,2005.0,174000
87,612.0,612.0,2.2,Av,0.0,Unf,612.0,0.0,528.0,RFn,2009.0,1224.0,Gd,3951.0,40.0,76.0,234.0,5.0,6.0,612.0,56.0,2009.0,2009.0,164500
88,1013.0,0.0,2.0,No,0.0,Unf,1013.0,0.0,0.0,None,1970.8,1526.0,Fa,8470.0,105.0,0.0,0.0,2.0,3.0,1013.0,88.8,1915.0,1982.0,85000
89,990.0,0.0,3.0,No,588.0,BLQ,402.0,0.0,0.0,None,1960.0,990.0,TA,8070.0,60.0,0.0,0.0,5.0,4.0,990.0,154.4,1994.0,1995.0,123600
90,1040.0,0.0,2.0,None,0.0,None,0.0,45.2,420.0,Unf,1950.0,1040.0,TA,7200.0,60.0,0.0,29.0,5.0,4.0,0.0,128.8,1950.0,1950.0,109900
91,1235.0,0.0,2.0,No,600.0,Rec,635.0,0.0,480.0,Unf,1961.0,1235.0,TA,8500.0,85.0,203.0,0.0,3.0,5.0,1235.0,134.2,1961.0,1961.0,98600
92,964.0,0.0,2.0,No,713.0,ALQ,163.0,37.0,432.0,Unf,1921.0,964.0,TA,13360.0,80.0,0.0,0.0,7.0,5.0,876.0,209.0,1921.0,2006.0,163500
93,1260.0,1031.0,4.0,Mn,1046.0,Rec,168.0,0.0,506.0,Unf,1900.0,2291.0,TA,7200.0,60.0,0.0,0.0,6.0,6.0,1214.0,205.4,1910.0,1998.0,133900
94,905.0,881.0,3.0,No,648.0,GLQ,176.0,46.8,684.0,RFn,1997.0,1786.0,Gd,9337.0,69.0,0.0,162.0,5.0,6.0,824.0,68.8,1997.0,1997.0,204750
95,680.0,790.0,3.0,No,310.0,GLQ,370.0,46.8,420.0,Fin,1993.0,1470.0,TA,9765.0,73.4,68.0,63.0,8.0,6.0,680.0,37.6,1993.0,1993.0,185000
96,1588.0,0.0,3.2,Av,1162.0,ALQ,426.0,0.0,472.0,RFn,1999.0,1588.0,Gd,10264.0,78.0,183.0,29.0,5.0,7.0,1588.0,186.6,1999.0,1999.0,214000
97,960.0,0.0,3.0,No,520.0,Rec,440.0,0.0,432.0,Fin,1965.0,960.0,TA,10921.0,73.0,48.0,0.0,5.0,4.0,960.0,24.0,1965.0,1965.0,94750
98,835.0,0.0,2.0,No,108.0,ALQ,350.0,22.4,366.0,Unf,1920.0,835.0,TA,10625.0,85.0,0.0,0.0,5.0,5.0,458.0,0.0,1920.0,1950.0,83000
99,1225.0,0.0,3.0,No,569.0,ALQ,381.0,54.0,0.0,None,1962.0,1225.0,TA,9320.0,77.0,0.0,0.0,5.0,4.0,950.0,68.4,1959.0,1959.0,128950
100,1610.0,0.0,3.0,Mn,1200.0,ALQ,410.0,0.0,480.0,RFn,1977.0,1610.0,Gd,10603.0,77.8,28.0,68.0,7.0,6.0,1610.0,75.4,1977.0,2001.0,205000
101,977.0,755.0,3.0,No,0.0,ALQ,741.0,46.8,476.0,Fin,1985.0,1732.0,Gd,9206.0,77.0,336.0,46.0,5.0,6.0,741.0,52.8,1985.0,1985.0,178000
102,1535.0,0.0,4.0,None,0.0,None,0.0,45.2,410.0,Unf,1979.0,1535.0,TA,7018.0,64.0,0.0,0.0,5.0,5.0,0.0,89.6,1979.0,1979.0,118964
103,1226.0,0.0,2.8,No,0.0,Unf,1226.0,0.0,740.0,RFn,2009.0,1226.0,Gd,10402.0,94.0,0.0,36.0,5.0,7.0,1226.0,104.8,2009.0,2009.0,198900
104,1226.0,592.0,4.0,No,224.0,LwQ,816.0,0.0,240.0,RFn,1951.0,1818.0,TA,7758.0,61.8,600.0,0.0,4.0,7.0,1040.0,106.2,1931.0,1950.0,169500
105,1053.0,1065.8,3.0,No,0.0,Unf,1053.0,46.8,648.0,RFn,2003.0,1992.0,Gd,9375.0,75.0,768.0,45.0,5.0,8.0,1053.0,86.4,2003.0,2004.0,250000
106,1047.0,0.0,2.0,No,0.0,Unf,641.0,0.0,273.0,Unf,1954.0,1047.0,TA,10800.0,60.0,0.0,0.0,7.0,4.0,641.0,24.0,1885.0,1995.0,100000
107,789.0,0.0,2.0,No,104.0,ALQ,516.0,50.0,250.0,Unf,1948.0,789.0,TA,6000.0,50.0,0.0,0.0,5.0,5.0,789.0,32.8,1948.0,1950.0,115000
108,997.0,573.4,3.0,No,0.0,Unf,793.0,0.0,0.0,None,1945.4,1517.0,Fa,8500.0,85.0,0.0,0.0,7.0,5.0,793.0,40.0,1919.0,2005.0,115000
109,1844.0,0.0,3.0,No,705.0,BLQ,1139.0,0.0,546.0,RFn,1977.0,1844.0,TA,11751.0,105.0,480.0,122.0,6.0,6.0,1844.0,145.6,1977.0,1977.0,190000
110,1216.0,639.0,4.0,No,444.0,Rec,550.0,46.8,325.0,Unf,1954.0,1855.0,TA,9525.0,75.0,0.0,0.0,4.0,6.0,994.0,86.4,1954.0,1972.0,136900
111,774.0,656.0,3.0,No,250.0,GLQ,134.0,0.0,400.0,Fin,2000.0,1430.0,TA,7750.0,69.8,0.0,0.0,5.0,7.0,384.0,147.2,2000.0,2000.0,180000
112,1282.0,1414.0,4.0,Av,984.0,GLQ,280.0,28.8,792.0,Unf,2007.0,2696.0,Ex,9965.0,77.0,220.0,184.0,5.0,7.0,1264.0,97.0,2007.0,2007.0,383970
113,2259.0,0.0,3.0,Mn,35.0,Unf,905.0,29.0,450.0,Unf,1953.0,2259.0,Gd,21000.0,63.4,184.0,120.0,5.0,6.0,1809.0,114.8,1953.0,1953.0,217000
114,1436.0,884.0,3.0,No,774.0,ALQ,104.0,0.0,180.0,Unf,1945.0,2320.0,Gd,7259.0,61.0,0.0,0.0,8.0,6.0,1028.0,253.2,1945.0,2002.0,259500
115,729.0,729.0,2.0,No,419.0,GLQ,310.0,0.0,440.0,Unf,1999.0,1458.0,TA,3230.0,34.0,1129.0,32.0,5.0,6.0,729.0,130.8,1999.0,1999.0,176000
116,1092.0,0.0,3.0,No,170.0,LwQ,252.0,0.0,288.0,Unf,1962.0,1092.0,TA,11616.0,88.2,116.0,20.0,5.0,5.0,1092.0,226.6,1962.0,1962.0,139000
117,1125.0,0.0,2.0,No,0.0,Unf,1125.0,49.8,430.0,Unf,2007.0,1125.0,TA,8536.0,74.0,0.0,64.0,5.0,5.0,1125.0,159.0,2006.0,2007.0,155000
118,1699.0,1523.0,5.0,Mn,1470.0,GLQ,203.0,44.8,594.0,Unf,1990.0,3222.0,Gd,12376.0,90.0,0.0,0.0,5.0,7.0,1673.0,301.6,1990.0,1990.0,320000
119,728.0,728.0,3.0,No,0.0,Unf,728.0,0.0,390.0,Fin,2005.0,1456.0,Gd,8461.0,65.0,0.0,24.0,5.0,6.0,728.0,44.0,2005.0,2006.0,163990
120,988.0,0.0,1.0,Gd,938.0,ALQ,0.0,29.0,540.0,Unf,1969.0,988.0,TA,21453.0,103.2,0.0,130.0,5.0,6.0,938.0,0.0,1969.0,1969.0,180000
121,772.0,351.0,3.0,No,0.0,Unf,732.0,50.0,264.0,Unf,1979.0,1123.0,TA,6060.0,50.0,0.0,0.0,5.0,4.0,732.0,4.8,1939.0,1950.0,100000
122,1080.0,0.0,3.0,No,570.0,BLQ,510.0,72.2,288.0,Unf,1958.0,1080.0,TA,9464.0,75.0,135.0,0.0,7.0,6.0,1080.0,68.4,1958.0,1958.0,136000
123,1199.0,0.0,2.0,No,300.0,GLQ,899.0,0.0,530.0,RFn,1993.0,1199.0,Gd,7892.0,55.0,0.0,63.0,5.0,6.0,1199.0,23.2,1993.0,1993.0,153900
124,1586.0,0.0,3.0,No,0.0,Rec,1362.0,43.2,435.0,Unf,1979.0,1586.0,TA,17043.0,48.0,0.0,0.0,5.0,6.0,1362.0,192.0,1979.0,1998.0,181000
125,520.0,0.0,2.0,Av,490.0,GLQ,30.0,45.2,0.0,Fin,1976.0,754.0,TA,6780.0,60.0,0.0,0.0,8.0,6.0,520.0,125.0,1935.0,1982.0,84500
126,958.0,0.0,2.0,No,120.0,ALQ,958.0,71.2,440.0,RFn,1977.0,958.0,TA,4928.0,45.4,0.0,205.0,5.0,6.0,1078.0,0.0,1976.0,1976.0,128000
127,840.0,0.0,3.0,No,116.0,LwQ,556.0,106.0,0.0,None,1968.6,840.0,TA,4388.0,55.0,0.0,0.0,7.0,5.0,672.0,56.0,1930.0,1950.0,87000
128,660.0,688.0,3.0,No,512.0,BLQ,148.0,0.0,453.0,RFn,1966.0,1348.0,TA,7590.0,69.0,266.0,108.0,5.0,6.0,660.0,57.6,1966.0,1966.0,155000
129,1053.0,0.0,3.0,No,567.0,Rec,413.0,49.8,750.0,RFn,1998.0,1053.0,Ex,8973.0,69.0,85.0,80.0,7.0,5.0,1008.0,109.8,1958.0,1991.0,150000
130,1216.0,941.0,4.0,No,445.0,Rec,479.0,44.8,487.0,RFn,1966.0,2157.0,Gd,14200.0,88.0,309.0,66.0,6.0,7.0,924.0,149.0,1966.0,1966.0,226000
131,1022.0,1032.0,3.0,No,695.0,GLQ,297.0,37.0,390.0,RFn,2000.0,2054.0,Gd,12224.0,75.0,40.0,48.0,5.0,6.0,992.0,221.4,2000.0,2000.0,244000
132,1327.0,0.0,2.4,No,405.0,Rec,658.0,45.2,624.0,Unf,1974.0,1327.0,Gd,7388.0,75.0,0.0,0.0,6.0,5.0,1063.0,118.6,1959.0,2002.0,150750
